oid,proname,pronamespace,proowner,prolang,procost,prorows,provariadic,prosupport,prokind,prosecdef,proleakproof,proisstrict,proretset,provolatile,proparallel,pronargs,pronargdefaults,prorettype,proargtypes,proallargtypes,proargmodes,proargnames,proargdefaults,protrftypes,prosrc,probin,prosqlbody,proconfig,proacl
208,float4_accum,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,1022,1022 700,,,,,,float4_accum,,,,
209,float4larger,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,700,700 700,,,,,,float4larger,,,,
211,float4smaller,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,700,700 700,,,,,,float4smaller,,,,
212,int4um,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,23,23,,,,,,int4um,,,,
213,int2um,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,21,21,,,,,,int2um,,,,
214,float8in,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,2275,,,,,,float8in,,,,
215,float8out,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,2275,701,,,,,,float8out,,,,
216,float8mul,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 701,,,,,,float8mul,,,,
217,float8div,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 701,,,,,,float8div,,,,
218,float8pl,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 701,,,,,,float8pl,,,,
219,float8mi,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 701,,,,,,float8mi,,,,
220,float8um,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,float8um,,,,
221,float8abs,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,float8abs,,,,
222,float8_accum,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,1022,1022 701,,,,,,float8_accum,,,,
276,float8_combine,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,1022,1022 1022,,,,,,float8_combine,,,,
223,float8larger,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 701,,,,,,float8larger,,,,
224,float8smaller,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 701,,,,,,float8smaller,,,,
225,lseg_center,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,600,601,,,,,,lseg_center,,,,
227,poly_center,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,600,604,,,,,,poly_center,,,,
228,dround,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dround,,,,
229,dtrunc,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dtrunc,,,,
2308,ceil,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dceil,,,,
2320,ceiling,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dceil,,,,
2309,floor,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dfloor,,,,
2310,sign,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dsign,,,,
230,dsqrt,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dsqrt,,,,
231,dcbrt,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dcbrt,,,,
232,dpow,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,701 701,,,,,,dpow,,,,
233,dexp,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dexp,,,,
234,dlog1,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,701,701,,,,,,dlog1,,,,
235,float8,11,10,12,1,0,0,0,f,f,t,t,f,i,s,1,0,701,21,,,,,,i2tod,,,,
236,float4,11,10,12,1,0,0,0,f,f,t,t,f,i,s,1,0,700,21,,,,,,i2tof,,,,
237,int2,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,21,701,,,,,,dtoi2,,,,
238,int2,11,10,12,1,0,0,0,f,f,f,t,f,i,s,1,0,21,700,,,,,,ftoi2,,,,
239,line_distance,11,10,12,1,0,0,0,f,f,f,t,f,i,s,2,0,701,628 628,,,,,,line_distance,,,,
240,nameeqtext,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,19 25,,,,,,nameeqtext,,,,
241,namelttext,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,19 25,,,,,,namelttext,,,,
242,nameletext,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,19 25,,,,,,nameletext,,,,
243,namegetext,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,19 25,,,,,,namegetext,,,,
244,namegttext,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,19 25,,,,,,namegttext,,,,
245,namenetext,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,19 25,,,,,,namenetext,,,,
246,btnametextcmp,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,23,19 25,,,,,,btnametextcmp,,,,
247,texteqname,11,10,12,1,0,0,0,f,f,t,t,f,i,s,2,0,16,25 19,,,,,,texteqname,,,,
