oid,relname,relnamespace,reltype,reloftype,relowner,relam,relfilenode,reltablespace,relpages,reltuples,relallvisible,reltoastrelid,relhasindex,relisshared,relpersistence,relkind,relnatts,relchecks,relhasrules,relhastriggers,relhassubclass,relrowsecurity,relforcerowsecurity,relispopulated,relreplident,relispartition,relrewrite,relfrozenxid,relminmxid,relacl,reloptions,relpartbound
2658,pg_attribute_relid_attnam_index,11,0,0,10,403,0,0,15,3126,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2659,pg_attribute_relid_attnum_index,11,0,0,10,403,0,0,11,3126,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2662,pg_class_oid_index,11,0,0,10,403,0,0,4,415,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2663,pg_class_relname_nsp_index,11,0,0,10,403,0,0,5,415,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
3455,pg_class_tblspc_relfilenode_index,11,0,0,10,403,0,0,2,415,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2656,pg_attrdef_adrelid_adnum_index,11,0,0,10,403,2656,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2657,pg_attrdef_oid_index,11,0,0,10,403,2657,0,1,0,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2664,pg_constraint_conname_nsp_index,11,0,0,10,403,2664,0,2,112,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2665,pg_constraint_conrelid_contypid_conname_index,11,0,0,10,403,2665,0,2,112,0,0,f,f,p,i,3,0,f,f,f,f,f,t,n,f,0,0,0,,,
2666,pg_constraint_contypid_index,11,0,0,10,403,2666,0,2,112,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2667,pg_constraint_oid_index,11,0,0,10,403,2667,0,2,112,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2579,pg_constraint_conparentid_index,11,0,0,10,403,2579,0,2,112,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2680,pg_inherits_relid_seqno_index,11,0,0,10,403,2680,0,1,0,0,0,f,f,p,i,2,0,f,f,f,f,f,t,n,f,0,0,0,,,
2187,pg_inherits_parent_index,11,0,0,10,403,2187,0,1,0,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
2678,pg_index_indrelid_index,11,0,0,10,403,2678,0,2,164,0,0,f,f,p,i,1,0,f,f,f,f,f,t,n,f,0,0,0,,,
